Date,Open,High,Low,Close,Volume
2024-08-01,22352,22728,22342,22652,373128
2024-08-02,22585,22637,21508,21528,550236
2024-08-05,21488,21524,19374,19374,753560
2024-08-06,19374,20792,18827,20429,894544
2024-08-07,20341,21336,19955,21136,679689
2024-08-08,21060,21434,20551,20696,614346
2024-08-09,20826,21592,20565,21478,570492
2024-08-12,21505,21893,21334,21671,492875
2024-08-13,21646,21924,21561,21770,344146
2024-08-14,21800,22158,21694,21986,336959
2024-08-15,22013,22210,21732,21841,380316
2024-08-16,21840,22445,21757,22365,333613
2024-08-19,22360,22522,22168,22360,302388
2024-08-20,22336,22579,22222,22435,238152
2024-08-21,22441,22496,22152,22200,201424
2024-08-22,22205,22300,22015,22103,317541
2024-08-23,22148,22299,21766,22131,360443
2024-08-26,22119,22450,22075,22207,368578
2024-08-27,22196,22312,21993,22153,263767
2024-08-28,22160,22411,22049,22400,305473
2024-08-29,22422,22553,21885,22175,354466
2024-08-30,22200,22476,22194,22322,302185
2024-09-02,22322,22447,22095,22221,306295
2024-09-03,22210,22313,22008,22058,223097
2024-09-04,22080,22150,20827,20940,475920
2024-09-05,20957,21453,20916,21184,396642
2024-09-06,21164,21471,21013,21314,396889
2024-09-09,21303,21530,20549,21079,499248
2024-09-10,21108,21350,20906,20998,357575
2024-09-11,21009,21184,20818,21005,336985
2024-09-12,21066,21780,20880,21709,415387
2024-09-13,21703,21894,21579,21819,262832
2024-09-16,21790,21892,21736,21812,179044
2024-09-18,21800,21873,21559,21617,183071
2024-09-19,21717,22080,21605,22071,308144
2024-09-20,22102,22434,22084,22216,280327
2024-09-23,22225,22392,22099,22336,229488
2024-09-24,22303,22508,22151,22495,252664
2024-09-25,22550,22901,22504,22789,268713
2024-09-26,22765,23078,22747,22955,249344
2024-09-27,23004,23395,22877,22885,342427
2024-09-30,22868,22983,22314,22327,350325
2024-10-01,22333,22463,22006,22391,291280
2024-10-04,22404,22506,21888,22286,369552
2024-10-07,22320,22807,22236,22775,318100
2024-10-08,22750,22767,22394,22580,269053
2024-10-09,22598,22886,22545,22700,257065
2024-10-11,22662,23048,22573,22912,247261
2024-10-14,22910,23077,22816,23008,218033
2024-10-15,23048,23385,23016,23228,190754
2024-10-16,23214,23262,22808,22986,224089
2024-10-17,23053,23276,23003,23260,251737
2024-10-18,23488,23988,23450,23660,364080
2024-10-21,23685,23883,23568,23571,210032
2024-10-22,23559,23688,23332,23626,277569
2024-10-23,23600,23667,23337,23403,235880
2024-10-24,23400,23465,23133,23301,303433
2024-10-25,23290,23485,23206,23477,217136
2024-10-28,23464,23709,23213,23320,287435
2024-10-29,23337,23386,22691,22976,304686
2024-10-30,23020,23143,22845,22901,250852
2024-11-01,22931,22996,22233,22755,319166
2024-11-04,22756,23045,22692,23035,254887
2024-11-05,23040,23300,22780,23141,251296
2024-11-06,23145,23447,23047,23321,294504
2024-11-07,23374,23577,22937,23533,349367
2024-11-08,23553,23796,23477,23777,246083
2024-11-11,23768,23840,23310,23574,284045
2024-11-12,23534,23570,22864,22866,304290
2024-11-13,22875,23015,22570,22779,316375
2024-11-14,22820,23077,22578,22677,341201
2024-11-15,22650,22930,22592,22758,261212
2024-11-18,22732,22831,22471,22576,264149
2024-11-19,22591,22975,22339,22853,262976
2024-11-20,22872,22955,22653,22686,207841
2024-11-21,22801,22823,22496,22571,282744
2024-11-22,22585,23067,22393,23036,353646
2024-11-25,23063,23285,22975,23063,225300
2024-11-26,23030,23032,22612,22638,243010
2024-11-27,22635,22761,22341,22343,248753
2024-11-28,22392,22467,22049,22336,301979
2024-11-29,22333,22438,22003,22306,213903
2024-12-02,22300,22826,22160,22825,241053
2024-12-03,22830,23181,22803,23111,217397
2024-12-04,23086,23295,22936,23295,233551
2024-12-05,23270,23365,23185,23256,191922
2024-12-06,23268,23454,23135,23174,205639
2024-12-09,23209,23328,23170,23251,188567
2024-12-10,23235,23477,23026,23090,246088
2024-12-11,23088,23144,22824,22850,227359
2024-12-12,22870,23211,22800,23110,208559
2024-12-13,23100,23141,22850,22985,224852
2024-12-16,23016,23269,22933,22960,245155
2024-12-17,22989,23214,22962,23035,185417
2024-12-18,23020,23200,22837,23105,172830
2024-12-19,23191,23386,22602,22849,275753
2024-12-20,22850,22972,22589,22633,262023
2024-12-23,22671,23243,22520,23239,270385
2024-12-24,23252,23450,23145,23215,204819
2024-12-25,23228,23377,23206,23328,132551
2024-12-26,23327,23420,23275,23324,90007
2024-12-27,23306,23376,23152,23376,161331
2024-12-30,23383,23395,23090,23170,181044
2024-12-31,23160,23195,22921,23043,203330
2025-01-02,23025,23167,22690,22846,229420
2025-01-03,22850,23106,22731,22979,255662
2025-01-06,22972,23620,22939,23607,216787
2025-01-07,23646,23993,23617,23754,226204
2025-01-08,23754,23894,23440,23451,228517
2025-01-09,23411,23486,23083,23101,251791
2025-01-10,23083,23196,22956,23049,180161
2025-01-13,23029,23175,22431,22531,329908
2025-01-14,22546,22767,22316,22752,218895
2025-01-15,22740,22821,22493,22519,170435
2025-01-16,22525,23217,22512,23033,256450
2025-01-17,23247,23529,22956,23194,309898
2025-01-20,23213,23416,23192,23345,190152
2025-01-21,23338,23439,23171,23365,199275
2025-01-22,23351,23720,23326,23700,187173
2025-02-03,23661,23842,22550,22594,206879
2025-02-04,22605,22947,22590,22823,201666
2025-02-05,22835,23282,22833,23135,175895
2025-02-06,23135,23378,23050,23295,163657
2025-02-07,23292,23465,23241,23429,144480
2025-02-10,23431,23526,23168,23243,214089
2025-02-11,23246,23503,23233,23340,157353
2025-02-12,23333,23536,23214,23311,181233
2025-02-13,23333,23455,23150,23401,214623
2025-02-14,23395,23400,23116,23179,219098
2025-02-17,23163,23539,23065,23502,183601
2025-02-18,23531,23664,23463,23650,102005
2025-02-19,23670,23703,23513,23607,118758
2025-02-20,23628,23678,23372,23534,183084
2025-02-21,23538,23759,23468,23748,194074
2025-02-24,23767,23783,23421,23555,191757
2025-02-25,23543,23594,23138,23297,224909
2025-02-26,23253,23420,23050,23419,246981
2025-02-27,23432,23590,23127,23189,257381
2025-03-03,23205,23309,22602,22723,282616
2025-03-04,22732,22758,22109,22580,321526
2025-03-05,22595,22926,22339,22894,326207
2025-03-06,22899,23030,22705,22764,277763
2025-03-07,22759,22808,22406,22523,279147
2025-03-10,22456,22629,22242,22443,317862
2025-03-11,22440,22484,21661,22032,340538
2025-03-12,22053,22345,21835,22228,320174
2025-03-13,22188,22475,21917,21923,326201
2025-03-14,21905,22131,21857,21962,304269
2025-03-17,21962,22312,21925,22156,231385
2025-03-18,22135,22438,22098,22230,185857
2025-03-19,22262,22335,21945,21963,175058
2025-03-20,22019,22418,21970,22366,238176
2025-03-21,22368,22382,22168,22178,264259
2025-03-24,22202,22398,22017,22154,246689
2025-03-25,22171,22444,22161,22303,222323
2025-03-26,22311,22428,22250,22306,187110
2025-03-27,22303,22315,21891,21971,237168
2025-03-28,21956,21986,21484,21604,295912
2025-03-31,21577,21644,20724,20778,350915
2025-04-01,20807,21271,20688,21178,304003
2025-04-02,21227,21389,21060,21302,291210
2025-04-07,21302,21668,19167,19167,210711
2025-04-08,17693,19287,17567,18193,721611
2025-04-09,18248,18847,17138,17204,687529
2025-04-10,17340,18902,17015,18902,412189
2025-04-11,19670,19747,18384,19531,673407
2025-04-14,19543,19981,19178,19495,470440
2025-04-15,19538,19833,19346,19796,276011
2025-04-16,19808,19909,19427,19549,199648
2025-04-17,19367,19447,19002,19370,347818
2025-04-18,19513,19583,19253,19337,278639
2025-04-21,19347,19402,19028,19102,144237
2025-04-22,19093,19142,18752,18798,260572
2025-04-23,18877,19596,18809,19557,279207
2025-04-24,19568,19775,19414,19460,289286
2025-04-25,19445,20008,19354,19875,287117
2025-04-28,19897,20071,19752,19962,257550
2025-04-29,20000,20206,19825,20156,227293
2025-04-30,20165,20266,20061,20151,216441
2025-05-02,20180,20710,19923,20676,288347
2025-05-05,20650,20900,20207,20413,307678
2025-05-06,20419,20483,20139,20340,256914
2025-05-07,20331,20558,20158,20379,284076
2025-05-08,20388,20695,20251,20579,282221
2025-05-09,20564,20872,20505,20848,267603
2025-05-12,20863,21135,20728,21066,207266
2025-05-13,21068,21518,21067,21357,253411
2025-05-14,21353,21787,21314,21770,220220
2025-05-15,21800,21889,21676,21692,189452
2025-05-16,21698,21877,21630,21825,184324
2025-05-19,21806,21931,21498,21537,199208
2025-05-20,21522,21786,21475,21540,181462
2025-05-21,21534,21852,21492,21849,127376
2025-05-22,21665,21727,21391,21498,210209
2025-05-23,21506,21640,21332,21466,221299
2025-05-26,21450,21562,21072,21386,275322
2025-05-27,21400,21438,21132,21229,152645
2025-05-28,21232,21512,21150,21249,225899
2025-05-29,21251,21615,21191,21322,225818
2025-06-02,21290,21292,20790,20868,267901
2025-06-03,20880,21220,20830,20976,214616
2025-06-04,21025,21535,20975,21477,196512
2025-06-05,21499,21678,21454,21557,175417
2025-06-06,21555,21752,21501,21578,201079
2025-06-09,21579,21788,21534,21725,155946
2025-06-10,21742,22237,21720,22113,183700
2025-06-11,22129,22356,22096,22349,177873
2025-06-12,22355,22491,22215,22253,179044
2025-06-13,22235,22349,21893,21934,227526
2025-06-16,21961,22146,21868,22036,196673
2025-06-17,22057,22277,22036,22165,168530
2025-06-18,22150,22385,22028,22308,148890
2025-06-19,21957,21987,21676,21704,210883
2025-06-20,21680,21742,21468,21649,207581
2025-06-23,21650,21788,21206,21474,268913
2025-06-24,21481,21964,21350,21962,256485
2025-06-25,22000,22168,21928,22160,179918
2025-06-26,22146,22264,22078,22110,178663
2025-06-27,22121,22220,21988,22120,197680
2025-06-30,22098,22257,22037,22141,185471
2025-07-01,22133,22592,22012,22351,212983
2025-07-02,22352,22409,22208,22391,169621
2025-07-03,22387,22716,22281,22679,185671
2025-07-04,22710,22875,22431,22434,195742
2025-07-07,22423,22505,22246,22336,174986
2025-07-08,22313,22427,22142,22254,206645
2025-07-09,22275,22472,22146,22430,176059
2025-07-10,22440,22647,22365,22608,200465
2025-07-11,22620,22772,22487,22764,180770
2025-07-14,22741,22753,22520,22550,158610
2025-07-15,22528,22882,22461,22810,173694
2025-07-16,22830,23118,22811,23048,127082
2025-07-17,22888,23150,22811,23145,195158
2025-07-18,23319,23414,23230,23262,187991
2025-07-21,23277,23323,23173,23232,128852
2025-07-22,23257,23407,22978,22992,208320
2025-07-23,23012,23259,22862,23184,194619
2025-07-24,23197,23405,23153,23309,162655
2025-07-25,23298,23328,23190,23241,133010
2025-07-28,23238,23483,23190,23398,169396
2025-07-29,23400,23402,23027,23164,184280
2025-07-30,23183,23420,23132,23363,200971
2025-07-31,23364,23620,23222,23602,197323
2025-08-01,23594,23683,23021,23348,243410
2025-08-04,23290,23322,22980,23266,236922
2025-08-05,23279,23583,23266,23577,153983
2025-08-06,23598,23621,23376,23426,172847
2025-08-07,23413,24054,23292,23995,214996
2025-08-08,24006,24132,23930,23952,163387
2025-08-11,23928,24222,23833,24161,175087
2025-08-12,24165,24240,24071,24137,149570
2025-08-13,24168,24408,24133,24343,199402
2025-08-14,24349,24439,24207,24253,148950
2025-08-15,24246,24384,24187,24317,163558
2025-08-18,24314,24462,24138,24425,163155
2025-08-19,24395,24447,24313,24344,121491
2025-08-20,24349,24380,23630,23636,155324
2025-08-21,23652,23943,23529,23851,229294
2025-08-22,23870,23982,23730,23749,204283
2025-08-25,23720,24313,23708,24257,238901
2025-08-26,24232,24282,24090,24254,160476
2025-08-27,24243,24496,24188,24462,152661
2025-08-28,24473,24488,24204,24222,191605
2025-08-29,24265,24453,24247,24267,187119
2025-09-01,24250,24285,23847,24009,264735
2025-09-02,24023,24250,23880,23971,193995
2025-09-03,24005,24084,23690,23999,261973
2025-09-04,24014,24365,23977,24129,270249
2025-09-05,24132,24428,24116,24420,176309
2025-09-08,24438,24675,24289,24551,250443
2025-09-09,24580,24838,24561,24804,160973
2025-09-10,24813,25244,24750,25171,204401
2025-09-11,25191,25475,25165,25234,238460
2025-09-12,25268,25465,25256,25465,164670
2025-09-15,25434,25450,25270,25348,157547
2025-09-16,25367,25663,25285,25628,137318
2025-09-17,25616,25650,25400,25434,120026
2025-09-18,25472,25745,25350,25711,232987
2025-09-19,25709,25888,25594,25670,263862
2025-09-22,25669,25940,25640,25890,170031
2025-09-23,25873,26326,25792,26270,212971
2025-09-24,26263,26544,26072,26238,261469
2025-09-25,26232,26296,26088,26097,198454
2025-09-26,26070,26095,25500,25666,313816
2025-09-30,25652,26046,25566,25953,213946
2025-10-01,25948,26375,25913,26046,222488
2025-10-02,25980,26527,25918,26427,224943
2025-10-03,26431,26764,26365,26739,245266
2025-10-07,26777,27356,26632,27319,220399
2025-10-08,27296,27397,26909,27092,220918
2025-10-09,27040,27456,27000,27333,217745
2025-10-13,27352,27396,26380,26901,241840
2025-10-14,26922,27450,26714,26717,291224
2025-10-15,26740,27191,26500,27155,231163
2025-10-16,27319,27878,27230,27824,348187
2025-10-17,27789,27814,27241,27325,342601
2025-10-20,27260,27822,27037,27783,358593
2025-10-21,27808,28036,27702,27830,243805
2025-10-22,27827,27948,27526,27708,262630
2025-10-23,27724,27737,27311,27560,291929
2025-10-27,27615,28288,27495,28222,223965
2025-10-28,28234,28320,27984,28001,199686
2025-10-29,27984,28445,27952,28416,194648
2025-10-30,28439,28551,28181,28399,270959
2025-10-31,28380,28589,28200,28434,240821
2025-11-03,28430,28583,28148,28339,266960
2025-11-04,28321,28595,28112,28113,266267
2025-11-05,28103,28229,27414,27804,349029
2025-11-06,27856,28158,27746,28034,246440
2025-11-07,28018,28137,27596,27729,330142
2025-11-10,27760,28038,27155,28015,343191
2025-11-11,28002,28180,27764,27772,248770
2025-11-12,27815,28078,27702,28056,240323
2025-11-13,28081,28176,27802,27979,243038
2025-11-14,28009,28064,27365,27408,296028
2025-11-17,27389,27692,26954,27476,371367
2025-11-18,27447,27574,26773,26806,363715
2025-11-19,26745,27022,26536,26615,243398
2025-11-20,26679,27493,26656,27486,319759
2025-11-21,27505,27540,26396,26475,395406
2025-11-24,26488,26801,26246,26617,382173
2025-11-25,26615,27103,26455,26940,275062
2025-11-26,26908,27383,26650,27332,302028
2025-11-27,27352,27649,27224,27582,258042
2025-11-28,27567,27855,27523,27741,131367
2025-12-01,27740,27864,27401,27402,185875
2025-12-02,27450,27789,27406,27561,231978
2025-12-03,27570,27888,27570,27759,228590
2025-12-04,27750,27879,27611,27800,216507
2025-12-05,27828,28018,27702,28016,196872
2025-12-08,28025,28298,27972,28287,193099
2025-12-09,28281,28363,28169,28222,156071
2025-12-10,28215,28435,28132,28396,163374
2025-12-11,28414,28699,28059,28103,235455
2025-12-12,28119,28345,28093,28293,199415
2025-12-15,28279,28335,27712,27908,240222
2025-12-16,27898,28030,27410,27627,229510
2025-12-17,27611,27796,27474,27483,155634
2025-12-18,27749,27960,27348,27587,304397
2025-12-19,27588,27984,27577,27897,256101
2025-12-22,27888,28368,27869,28339,199588
2025-12-23,28351,28455,28290,28417,128966
2025-12-24,28407,28588,28335,28471,143286
2025-12-26,28468,28714,28457,28673,122045
2025-12-29,28663,28997,28616,28947,145017
2025-12-30,28938,28955,28705,28881,158106
2025-12-31,28866,29053,28782,29017,158364
2026-01-02,29011,29499,28960,29476,172890
2026-01-05,29500,30488,29463,30310,291488
2026-01-06,30350,30673,30183,30614,197548
2026-01-07,30628,30676,30450,30521,197466
2026-01-08,30509,30662,30264,30458,207491
2026-01-09,30430,30582,30006,30456,248626
2026-01-12,30468,30838,30417,30703,215254
2026-01-13,30725,31267,30626,30873,262670
2026-01-14,30873,31163,30856,30983,220615
2026-01-15,30952,31055,30656,31054,239837
2026-01-16,31195,31541,31117,31478,255458
2026-01-19,31486,31772,31207,31670,202192
2026-01-20,31645,31740,31328,31669,164373
2026-01-21,31561,31652,31182,31246,213845
2026-01-22,31510,32056,31447,31862,328687
2026-01-23,31844,32166,31834,32150,248287
2026-01-26,32181,32266,32058,32148,228975
2026-01-27,32131,32531,32035,32506,218830
2026-01-28,32530,32937,32514,32925,197524
2026-01-29,33000,33152,32586,32779,282637
2026-01-30,32759,32797,31993,32252,371061
2026-02-02,32107,32306,31392,31611,439632
2026-02-03,31593,32444,31582,32266,285987
2026-02-04,32293,32496,31739,32417,321330
2026-02-05,32476,32612,31768,31910,381261
2026-02-06,31942,32054,31222,31803,448307
2026-02-09,31838,32849,31753,32656,272366
2026-02-10,32621,33312,32454,33310,248778
2026-02-11,33260,33844,33183,33697,245765
